id,date,direction,departure,arrivale,cost,comfort,mode_id
73.0,2015-06-18 00:00:00,Work-bound,8:08,8:54,0.0,3.0,12.0
74.0,2015-06-19 00:00:00,Work-bound,8:19,8:53,4.0,4.0,7.0
75.0,2015-06-23 00:00:00,Work-bound,4:36,4:57,7.76,5.0,5.0
76.0,2015-06-25 00:00:00,Work-bound,8:08,8:54,2.25,3.0,6.0
77.0,2015-07-06 00:00:00,Work-bound,8:27,8:55,6.0,3.0,5.0
78.0,2015-07-08 00:00:00,Work-bound,8:12,8:26,7.0,4.0,5.0
79.0,2015-07-08 00:00:00,Home-bound,6:47,7:08,6.79,3.0,9.0
80.0,2015-07-09 00:00:00,Work-bound,8:18,8:42,7.0,4.0,9.0
81.0,2015-07-09 00:00:00,Work-bound,9:12,9:48,2.25,4.0,6.0
82.0,2015-07-13 00:00:00,Work-bound,8:52,9:13,6.0,3.0,5.0
83.0,2015-07-16 00:00:00,Work-bound,8:43,9:10,6.0,4.0,5.0
84.0,2015-07-17 00:00:00,Work-bound,8:20,8:32,18.69,5.0,11.0
85.0,2015-07-20 00:00:00,Work-bound,7:53,8:10,17.0,3.0,11.0
86.0,2015-07-24 00:00:00,Work-bound,9:16,9:53,15.21,1.0,6.0
87.0,2015-07-28 00:00:00,Work-bound,8:19,9:49,25.09,1.0,6.0
88.0,2015-07-29 00:00:00,Work-bound,8:36,9:15,33.33,1.0,1.0
89.0,2015-07-30 00:00:00,Work-bound,8:23,8:46,22.53,5.0,4.0
90.0,2015-07-30 00:00:00,Home-bound,6:51,7:11,10.58,5.0,11.0
91.0,2015-07-31 00:00:00,Work-bound,8:24,8:42,12.52,5.0,11.0
92.0,2015-08-03 00:00:00,Work-bound,8:29,9:13,2.25,4.0,6.0
93.0,2015-08-12 00:00:00,Work-bound,8:37,9:11,6.0,4.0,5.0
94.0,2015-08-13 00:00:00,Work-bound,8:51,9:13,10.0,2.0,8.0
95.0,2015-08-14 00:00:00,Work-bound,7:49,8:11,12.19,5.0,11.0
96.0,2015-08-17 00:00:00,Work-bound,8:10,8:31,26.0,5.0,11.0
97.0,2015-08-18 00:00:00,Work-bound,8:07,8:53,4.0,2.0,7.0
98.0,2015-08-19 00:00:00,Work-bound,7:58,8:18,15.4,4.0,13.0
99.0,2015-08-21 00:00:00,Work-bound,8:18,8:42,14.0,5.0,13.0
100.0,2015-08-24 00:00:00,Work-bound,8:26,8:43,17.2,5.0,2.0
101.0,2015-08-26 00:00:00,Work-bound,9:23,9:49,7.0,2.0,5.0
102.0,2015-08-27 00:00:00,Work-bound,8:26,9:03,2.25,2.0,6.0
103.0,2015-08-27 00:00:00,Home-bound,4:50,5:10,17.85,5.0,2.0
104.0,2015-09-02 00:00:00,Work-bound,9:06,9:27,20.19,4.0,4.0
105.0,2015-09-03 00:00:00,Work-bound,9:05,9:56,20.07,4.0,13.0
106.0,2015-09-04 00:00:00,Work-bound,8:54,9:12,14.33,3.0,11.0
107.0,2015-09-04 00:00:00,Home-bound,6:34,7:00,6.8,4.0,5.0
108.0,2015-09-14 00:00:00,Work-bound,8:55,9:40,2.25,2.0,6.0
109.0,2015-09-16 00:00:00,Work-bound,8:41,9:10,7.0,4.0,9.0
110.0,2015-09-17 00:00:00,Work-bound,8:48,9:06,39.76,4.0,11.0
111.0,2015-09-18 00:00:00,Work-bound,9:12,9:59,0.0,4.0,12.0
112.0,2015-09-18 00:00:00,Home-bound,3:52,4:41,2.0,2.0,6.0
113.0,2015-09-21 00:00:00,Work-bound,8:10,8:32,32.0,5.0,4.0
114.0,2015-09-23 00:00:00,Work-bound,9:06,9:48,4.0,2.0,7.0
115.0,2015-09-23 00:00:00,Home-bound,7:32,8:11,5.0,2.0,7.0
116.0,2015-09-24 00:00:00,Work-bound,9:09,9:30,24.62,5.0,11.0
117.0,2015-09-25 00:00:00,Work-bound,8:35,9:08,23.27,5.0,13.0
118.0,2015-09-28 00:00:00,Work-bound,8:47,9:05,7.0,3.0,10.0
119.0,2015-10-01 00:00:00,Work-bound,9:07,9:32,7.0,4.0,9.0
120.0,2015-10-01 00:00:00,Home-bound,6:08,6:30,15.0,5.0,8.0
121.0,2015-10-05 00:00:00,Work-bound,7:39,8:20,2.25,4.0,6.0
122.0,2015-10-05 00:00:00,Home-bound,4:16,5:05,2.25,4.0,6.0
123.0,2015-10-07 00:00:00,Work-bound,8:45,9:10,26.85,3.0,4.0
124.0,2015-10-08 00:00:00,Work-bound,7:51,8:31,2.25,1.0,6.0
125.0,2015-10-08 00:00:00,Home-bound,6:19,6:57,7.0,4.0,9.0
126.0,2015-10-12 00:00:00,Work-bound,8:01,8:39,5.0,2.0,7.0
127.0,2015-10-14 00:00:00,Work-bound,9:00,9:12,16.23,5.0,11.0
128.0,2015-10-14 00:00:00,Home-bound,5:03,5:50,0.0,3.0,12.0
129.0,2015-10-15 00:00:00,Work-bound,8:15,9:00,0.0,2.0,12.0
130.0,2015-10-15 00:00:00,Home-bound,6:31,7:13,2.25,3.0,6.0
131.0,2015-10-19 00:00:00,Work-bound,8:31,9:00,7.0,3.0,5.0
132.0,2015-10-21 00:00:00,Work-bound,8:05,8:25,7.0,4.0,5.0
133.0,2015-10-22 00:00:00,Work-bound,9:16,9:46,7.0,3.0,5.0
134.0,2015-10-23 00:00:00,Work-bound,8:23,9:18,2.25,2.0,6.0
135.0,2015-10-23 00:00:00,Home-bound,4:15,4:41,6.71,4.0,5.0
136.0,2015-10-26 00:00:00,Work-bound,9:16,9:40,7.0,5.0,5.0
137.0,2015-10-27 00:00:00,Work-bound,3:11,3:43,7.0,4.0,5.0
138.0,2015-10-28 00:00:00,Work-bound,10:46,11:00,6.72,5.0,5.0
139.0,2015-10-28 00:00:00,Home-bound,6:27,6:54,17.45,4.0,4.0
140.0,2015-10-29 00:00:00,Work-bound,8:41,9:10,7.0,4.0,5.0
141.0,2015-10-30 00:00:00,Work-bound,8:17,9:04,2.25,3.0,6.0
